,node
0,8265731
1,77561863
2,248012808
3,177520651
4,166297612
5,13721613
6,28917776
7,4104209
8,819228
9,153305119
10,8172838
11,1679396
12,225075312
13,358146090
14,377856044
15,88956978
16,416579635
17,15753269
18,215900217
19,15081530
20,277749821
21,263782465
22,61489220
23,84394054
24,17621065
25,6758474
26,230932555
27,1605717
28,3047513
29,8912990
30,457670757
31,231727206
32,288743528
33,147561
34,329662573
35,144212080
36,76882035
37,124944506
38,2621569
39,99123331
40,77422724
41,143040646
42,253485196
43,5824658
44,216055957
45,13451415
46,372349636
47,13885595
48,133857437
49,183869604
50,251947718
51,13074599
52,282905287
53,253853869
54,112091312
55,70820019
56,148095162
57,64667837
58,100106430
59,457270646
60,9494730
61,9404626
62,213680339
63,152461524
64,622806
65,80610681
66,17907748
67,151601373
68,96878819
69,102310119
70,21889259
71,96076012
72,46719215
73,118497523
74,60178678
75,243949819
76,934141
77,1163518
78,10592513
79,378519819
80,235512078
81,5759249
82,135237678
83,17301783
84,133882136
85,170713369
86,303816987
87,307181767
88,3224965
89,235520288
90,1138980
91,6308134
92,177819697
93,184484136
94,680234
95,290788585
96,358375726
97,283331293
98,310108466
99,1032502
100,154247479
101,220381503
102,454506969
103,146858308
104,29860165
105,6111560
106,70369613
107,256981329
108,2777424
109,2900305
110,901466
111,302793054
112,261528293
113,71909728
114,57139556
115,385530598
116,250577256
117,324788585
118,326254954
119,53780843
120,409586782
121,95674733
122,164634990
123,497254771
124,4358516
125,227242046
126,1868150
127,180855159
128,50233720
129,206856575
130,474956162
131,186040709
132,28664199
133,433578377
134,177255730
135,410249099
136,270733
137,33145236
138,173867418
139,315659752
140,74965408
141,253562003
142,22184361
143,2228656
144,547901512
145,158646713
146,3622021
147,120603078
148,2720199
149,225677388
150,11010509
151,94052814
152,248938961
153,361759186
154,96084435
155,37265882
156,9945564
157,4258554
158,184877534
159,138895839
160,6758880
161,213475
162,394220674
163,22872551
164,199950824
165,3260912
166,2597364
167,218464758
168,101573113
169,99951104
170,8926635
171,20505094
172,349053449
173,17973774
174,2261519
175,38109716
176,253624855
177,263012890
178,31097374
179,163709471
180,8593953
181,329233952
182,13705770
183,14647853
184,2335281
185,39576114
186,198042165
187,454607414
188,21463619
189,271426117
190,141066824
191,356023053
192,382853719
193,57746009
194,13001306
195,20947558
196,72532584
197,1884780
198,301893053
199,17047657
200,42271353
201,4886647
202,179849627
203,159048318
204,372572113
205,13369989
206,104022662
207,1311367
208,5579401
209,918154
210,138592090
211,75752077
212,1507982
213,231662224
214,253534866
215,458629779
216,7373462
217,35168919
218,183771806
219,154267760
220,6374050
221,2146979
222,228287140
223,56758385
224,169789955
225,1049265
226,56517298
227,2081459
228,53732022
229,76104375
230,66962106
231,6010315
232,332112582
233,17195719
234,7553739
235,365945550
236,402129
237,5268178
238,319998755
239,221127384
240,22880986
241,260874971
242,228405370
243,327912229
244,185565924
245,258637722
246,31335150
247,2106095
248,451044080
249,325083890
250,991988
251,226542327
252,6931194
253,21750528
254,24486657
255,229966594
256,9011972
257,21192833
258,112886536
259,459530
260,3293963
261,32744205
262,463938320
263,98698001
264,296193320
265,516883
266,11633428
267,156072750
268,7176983
269,50414368
270,359916321
271,6669091
272,12477222
273,26829615
274,12026678
275,8422201
276,8348478
277,6267711
278,240591680
279,3932995
280,11936582
281,50864977
282,19391320
283,296174427
284,7955292
285,335586145
286,112444259
287,10765158
288,24617832
289,254681961
290,18277227
291,4850540
292,7168878
293,1459055
294,151118704
295,218289640
296,85181301
297,19219319
298,216302457
299,210764666
300,57369467
301,148382588
302,93045629
303,27968383
304,2391514
305,213058725
306,321209218
307,51397509
308,7455625
309,169975959
310,3849
311,2761622
312,56591256
313,141190041
314,100041626
315,290595739
316,301540253
317,38923077
318,187057056
319,248988577
320,86320039
321,238314408
322,10863532
323,66945965
324,256209053
325,180345672
326,179078066
327,40313779
328,94520244
329,21300150
330,272155575
331,152462264
332,92825076
333,78799802
334,19276732
335,1516477
336,2393024
337,169403329
338,168510408
339,84545699
340,21701589
341,177357782
342,721879
343,61236186
344,65264463
345,10511325
346,36602852
347,299137707
348,133440486
349,349856743
350,26764267
351,3974137
352,326170111
353,338268360
354,71091198
355,33375233
356,9421828
357,156218881
358,1328136
359,14861323
360,4883473
361,1803282
362,3220500
363,16704534
364,183682071
365,15909912
366,9126938
367,256694113
368,246365203
369,8995876
370,369632294
371,496092199
372,7496748
373,394290
374,259744820
375,281142325
376,136830202
377,380814394
378,244357983
379,389547069
380,339305534
381,172262464
382,49480773
383,394028110
384,89031761
385,20276306
386,45089876
387,450643030
388,9384121
389,265905240
390,66511961
391,3908698
392,347276380
393,232637545
394,402793580
395,35079277
396,361358446
397,194774128
398,341542002
399,258212982
400,351798391
401,459424890
402,343770238
403,7644287
404,2450560
405,44994752
406,46302339
407,41526405
408,259933323
409,471561633
410,339395731
411,71165076
412,13755541
413,7750807
414,9405593
415,155501722
416,99487
417,300975268
418,5637285
419,1967271
420,12043434
421,329663659
422,7005356
423,14075053
424,57328814
425,178480303
426,156550321
427,325887155
428,432211486
429,273867958
430,372876473
431,16245948
432,261014720
433,314737857
434,270632130
435,266159306
436,350980983
437,35160889
438,1115342
439,370279633
440,182494422
441,88238969
442,60695768
443,3523801
444,8234205
445,54101214
446,429073632
447,144778468
448,771304
449,80733419
450,417252593
451,80241908
452,361940216
453,226328788
454,1271036
455,5080319
456,23528705
457,935172
458,3121366
459,168830215
460,10470667
461,18097420
462,207316241
463,10786350
464,229917979
465,7832862
466,110904609
467,3499301
468,3310886
469,11257127
470,14837036
471,2499890
472,11560244
473,2557240
474,2819387
475,56263996
476,362306442
477,2737471
478,190711106
479,3376453
480,90420791
481,20473166
482,182027603
483,17663316
484,261211478
485,28067160
486,325264733
487,181069150
488,264455519
489,41616745
490,69043563
491,230633704
492,188441970
493,19015028
494,267470197
495,927094
496,159114616
497,28198265
498,7390588
499,164488573
500,92646293
501,116336001
502,225133954
503,231775126
504,142648710
505,5981579
506,218681581
507,2303379
508,1779095
509,274494276
510,171328921
511,257786095
512,106440092
513,14951841
514,329131428
515,11473137
516,20587944
517,166684079
518,24847793
519,9774518
520,221727647
521,109471165
522,185935294
523,11888064
524,95083424
525,297526724
526,199198149
527,183248328
528,100902346
529,171107787
530,27239884
531,123413971
532,226903508
533,9831896
534,335005146
535,60261851
536,37889500
537,29484509
538,411109
539,278442260
540,507442769
541,215247783
542,479330557
543,58006440
544,124519923
545,787956
546,104596981
547,81847801
548,77907451
549,22906366
550,32957951
551,16180741
552,204023304
553,135054857
554,189193133
555,238339894
556,68060694
557,1533464
558,575002
559,378398
560,117070671
561,244934180
562,75302
563,13723178
564,24860253
565,389098419
566,417244727
567,24610362
568,288319035
569,935484
570,208643646
571,22464064
572,226346592
573,163964489
574,441116236
575,19686989
576,251758165
577,87811674
578,152045148
579,64407134
580,43550303
581,337504
582,103884386
583,176162403
584,197305956
585,17507943
586,21284457
587,13813357
588,24839790
589,6825583
590,327378545
591,134973042
592,13977205
593,3286646
594,324470377
595,316810872
596,3633428
597,13706874
598,128018047
599,4368001
600,334903882
601,346818182
602,325158536
603,283068042
604,183334509
605,198537496
606,146900626
607,271173267
608,287270872
609,224519831
610,145417881
611,310871707
612,281335408
613,47400610
614,5670567
615,8210091
616,21456556
617,217392815
618,425337118
619,57763512
620,2069931
621,13280958
622,399982880
623,329416
624,316360394
625,30435019
626,16369356
627,152757965
628,174853652
629,18867920
630,510797667
631,3696339
632,192251605
633,68765399
634,92800729
635,240592602
636,13739747
637,219875044
638,142885158
639,308160234
640,235794727
641,114853612
642,71166930
643,64317171
644,392914676
645,2377461
646,375932664
647,294962938
648,207595259
649,201819902
650,24790789
651,172287617
652,11003659
653,358819596
654,1697549
655,363700525
656,116501
657,250619671
658,53651229
659,151234334
660,92022559
661,32589601
662,154887970
663,50841379
664,7898923
665,192055087
666,15951664
667,197928756
668,85403445
669,30869302
670,191711036
671,20743998
672,500795200
673,348800834
674,4204364
675,1869645
676,115500887
677,4772154
678,249062777
679,24135522
680,183035747
681,174573412
682,26265445
683,8980326
684,148490087
685,280995688
686,5375852
687,10096
688,230213489
689,36194165
690,8136572
691,241190782
692,240617345
693,2320260
694,206145413
695,234699142
696,40519559
697,1058696
698,23078793
699,55363467
700,7686032
701,231516052
702,169281434
703,138790811
704,247056288
705,215967713
706,681896
707,3368874
708,165803
709,369641390
710,171354036
711,234612664
712,197093307
713,177645501
714,216311742
715,8955839
716,33818560
717,78153666
718,139716548
719,10807237
720,276916166
721,227821511
722,134784968
723,286246858
724,141797323
725,5285836
726,150669261
727,157738961
728,86509522
729,11732947
730,36300760
731,24291295
732,136308705
733,133093
734,2852840
735,6842345
736,8587242
737,345442286
738,4147183
739,176523249
740,135161851
741,96503804
742,248612861
743,4188158
744,10249
745,8955914
746,6531086
747,81078287
748,57927073
749,92284947
750,16328726
751,147466263
752,335644696
753,254948066
754,72001563
755,457730076
756,65505313
757,22186020
758,64710693
759,155276979
760,17131572
761,2754615
762,15304761
763,132786235
764,253086730
765,1042495
766,18901061
767,40675398
768,299083847
769,55167049
770,98306123
771,2369614
772,9912
773,219490394
774,49260638
775,182446175
776,16787556
777,18925672
778,327067754
779,208062571
780,475981933
781,8169584
782,18073713
783,233798675
784,335497332
785,88762046
786,3634899
787,23144569
788,272304251
789,13658236
790,200968318
791,184748161
792,205719685
793,499634807
794,16640143
795,583827
796,7473303
797,220588185
798,94809114
799,163195038
800,20392095
801,20801697
802,8104099
803,222587044
804,180947109
805,641190
806,52013225
807,199403690
808,365643947
809,1427628
810,29927598
811,7874736
812,173697208
813,4335804
814,356342247
815,8136894
816,18918432
817,389428939
818,205777093
819,25462984
820,301852882
821,151424035
822,220189050
823,154446046
824,159869151
825,430680292
826,1330215
827,55363825
828,99715314
829,16156915
830,5523702
831,76507384
832,9890042
833,220348799
834,2238717
835,8562945
836,6310146
837,9840901
838,5679366
839,237029639
840,2672914
841,155724052
842,180463894
843,68126999
844,22595864
845,508847834
846,274042851
847,294234400
848,133531938
849,83790116
850,2648367
851,141920560
852,15698228
853,472230201
854,329488095
855,96241981
856,278284606
857,636640
858,327426443
859,140224842
860,296700235
861,42699086
862,86288719
863,731473
864,226925625
865,66718041
866,281659739
867,234703198
868,70527327
869,8579427
870,2222439
871,323488106
872,104778094
873,217211940
874,137742713
875,159164795
876,163154300
877,230771070
878,7858562
879,382707435
880,478906758
881,28109193
882,147999116
883,190260973
884,90466705
885,1952148
886,265488789
887,14559639
888,241912217
889,19188122
890,1034651
891,131623324
892,5876125
893,104098207
894,19335585
895,9791908
896,8038824
897,15927726
898,435608668
899,120089010
900,365875614
901,176826807
902,100723129
903,34335165
904,1132277
905,170863041
906,189163970
907,185944517
908,451527711
909,463497673
910,94120394
911,222087627
912,135588302
913,359484493
914,11913686
915,1182168
916,65882585
917,345010230
918,68151774
919,23554527
920,262088982
921,90638820
922,175975505
923,3385835
924,250259948
925,389114350
926,12823023
927,18565618
928,102067283
929,59075060
930,506038784
931,5622274
932,10807811
933,58239494
934,392705793
935,276711945
936,162122261
937,185388121
938,299010584
939,2378270
940,179317282
941,322083
942,14576168
943,4450857
944,26094122
945,267504171
946,37169709
947,264858160
948,4188721
949,15624754
950,14879283
951,324315701
952,194639627
953,2763332
954,281579958
955,338987590
956,240199
957,170423148
958,235588172
959,168057954
960,3745549
961,21080656
962,71346769
963,412242
964,10963539
965,169331285
966,296430170
967,317409884
968,12470877
969,279034042
970,311783867
971,312904292
972,256158311
973,66218606
974,361114225
975,64588403
976,133751
977,101255805
978,18344578
979,192817801
980,202656398
981,166660751
982,300198544
983,3320465
984,463299
985,11094684
986,250759837
987,44034724
988,9161382
989,11012779
990,142584492
991,388180653
992,29305520
993,6802101
994,330640054
995,406530747
996,231494090
997,247171774
998,19827391
999,205785792
1000,173240450
1001,13829921
1002,188607178
1003,182063216
1004,215767
1005,199641817
1006,248859354
1007,108178140
1008,176941789
1009,81062624
1010,199158498
1011,73329379
1012,34720489
1013,267684587
1014,231477714
1015,14488019
1016,14150389
1017,148286201
1018,90528155
1019,3541760
1020,427617025
1021,187673346
1022,369896197
1023,420170503
1024,408775442
1025,153717523
1026,70855444
1027,382539660
1028,2214685
1029,141256496
1030,2796322
1031,157479387
1032,301157157
1033,214485799
1034,323570474
1035,53300012
1036,206359343
1037,225553201
1038,8792886
1039,386956426
1040,2616129
1041,54373187
1042,50326341
1043,30559049
1044,20933453
1045,193096529
1046,403589971
1047,243141468
1048,7342941
1049,13871967
1050,5811043
1051,22162280
1052,160172905
1053,28099047
1054,7539565
1055,201780082
1056,152456051
1057,164473716
1058,197593975
1059,199420792
1060,32344953
1061,8948604
1062,169704922
1063,279128962
1064,16575365
1065,120064902
1066,501771147
1067,168299404
1068,253930381
1069,31673235
1070,10742677
1071,319875992
1072,250383261
1073,223450717
1074,3247007
1075,173695472
1076,14789539
1077,214895525
1078,168192935
1079,13195079
1080,57920429
1081,1878958
1082,232958897
1083,347695849
1084,14338995
1085,1911736
1086,315105780
1087,7449532
1088,13732797
1089,245756405
1090,376213359
1091,222915745
1092,8735691
1093,239166265
1094,345319582
1095,134532047
1096,2509778
1097,27020244
1098,207159801
1099,1092568
1100,1084378
1101,175442907
1102,75467740
1103,214043613
1104,330877919
1105,20343776
1106,153258977
1107,3083430
1108,242002920
1109,341920745
1110,3165168
1111,16796657
1112,2608114
1113,481728846
1114,74984440
1115,9718777
1116,321589759
1117,243960828
1118,120024074
1119,108399627
1120,60582926
1121,253578255
1122,327437328
1123,90168494
1124,156044313
1125,6351898
1126,17878048
1127,36867107
1128,64195621
1129,14584871
1130,5147690
1131,270307847
1132,335924268
1133,39816237
1134,282799150
1135,306620253
1136,373148732
1137,267646322
1138,15871042
1139,190965830
1140,307833928
1141,11955273
1142,1027146
1143,192632674
1144,199380046
1145,166423631
1146,206924880
1147,10579025
1148,4951123
1149,2468948
1150,120671321
1151,234400859
1152,14806110
1153,7498847
1154,20401248
1155,66202727
1156,14748776
1157,214068329
1158,289909871
1159,420673384
1160,7957620
1161,801982
1162,67038330
1163,3869819
1164,256232580
1165,2739333
1166,63663238
1167,16641162
1168,288224025
1169,18828433
1170,98962579
1171,489360537
1172,1485978
1173,202962799
1174,11922588
1175,7023777
1176,335802907
1177,724133
1178,10398886
1179,3468455
1180,47492276
1181,295043614
1182,450612406
1183,95620279
1184,409565044
1185,1543354
1186,30698683
1187,7335101
1188,13692094
1189,130172789
1190,339136
1191,117206209
1192,215919810
1193,175951047
1194,7539918
1195,243275640
1196,1305823
1197,205745376
1198,183397602
1199,205769955
1200,169905381
1201,150899942
1202,138464487
1203,3828969
1204,224554219
1205,3861744
1206,789745
1207,287558898
1208,307739859
1209,23129334
1210,172700201
1211,4689146
1212,14945531
1213,5475581
1214,135318782
1215,259714303
1216,246533376
1217,3239170
1218,180980996
1219,73616645
1220,6892806
1221,63401227
1222,427093262
1223,56651024
1224,139106102
1225,137489686
1226,28052759
1227,5401880
1228,242476933
1229,27307298
1230,60493094
1231,224718120
1232,20368681
1233,33738027
1234,34606385
1235,328109363
1236,16665912
1237,8301881
1238,61353275
1239,192400701
1240,98069822
1241,136490303
1242,326829963
1243,142799414
1244,39587142
1245,4607305
1246,155512141
1247,297381201
1248,32058708
1249,84159829
1250,2207062
1251,238169431
1252,5066075
1253,3714397
1254,156462433
1255,55094627
1256,159537914
1257,153128763
1258,24268139
1259,198956946
1260,115584368
1261,433245556
1262,3050874
1263,8433021
1264,185724287
1265,277722179
1266,419442053
1267,16813453
1268,32656784
1269,78352963
1270,299268998
1271,302083479
1272,143355288
1273,196821159
1274,69024
1275,106057121
1276,3853730
1277,140438947
1278,8064241
1279,257585102
1280,14413225
1281,15347121
1282,195603895
1283,151612861
1284,15117760
1285,313101761
1286,167587266
1287,6933956
1288,320056777
1289,442682826
1290,444829132
1291,354766287
1292,4083153
1293,172895700
1294,50515417
1295,4263389
1296,439479776
1297,40873441
1298,150077149
1299,232834455
1300,55193064
1301,248116642
1302,260582890
1303,37350891
1304,32484847
1305,339441
1306,49901042
1307,71781876
1308,249834998
1309,34622973
1310,17542659
1311,21057032
1312,50425354
1313,6385163
1314,25513484
1315,2682383
1316,274059501
1317,77073937
1318,158289426
1319,152145428
1320,40971803
1321,384918106
1322,6868511
1323,51416611
1324,341634600
1325,176737837
1326,20262447
1327,303574583
1328,69021240
1329,15904320
1330,174345793
1331,3173954
1332,198270219
1333,17116741
1334,408399436
1335,28896847
1336,306712145
1337,121351764
1338,59657813
1339,1797725
1340,21769488
1341,14661563
1342,182334054
1343,322260583
1344,527904361
1345,6598251
1346,45461100
1347,185634417
1348,230436470
1349,82882168
1350,38522489
1351,73295807
1352,68300412
1353,4198014
1354,98076350
1355,2877376
1356,82088567
1357,209088140
1358,1202114
1359,98815634
1360,302362261
1361,306327192
1362,9744028
1363,414690974
1364,269446820
1365,23531175
1366,40849064
1367,176435312
1368,14298795
1369,223522476
1370,49598125
1371,22028950
1372,402472221
1373,240643760
1374,207253171
1375,12127926
1376,192319163
1377,35063045
1378,9416391
1379,211888076
1380,7217783
1381,317331975
1382,147508949
1383,7483094
1384,218742052
1385,30142170
1386,211332827
1387,338620615
1388,177434337
1389,5631716
1390,136195366
1391,104861415
1392,59305706
1393,58601195
1394,282348
1395,2682607
1396,9522929
1397,16551666
1398,11235063
1399,8228604
1400,76951293
1401,29904645
1402,12365574
1403,50777865
1404,5451530
1405,3084045
1406,405264
1407,16406488
1408,2912019
1409,23846190
1410,2084630
1411,4632344
1412,499775476
1413,6049568
1414,10579748
1415,87821617
1416,78688043
1417,23621420
1418,294785316
1419,8959965
1420,28888883
1421,248049460
1422,128577339
1423,334283402
1424,2387776
1425,451014470
1426,16838471
1427,133082956
1428,57634638
1429,7728976
1430,3362642
1431,139112276
1432,9138009
1433,21442399
1434,10522471
1435,6344554
1436,10131431
1437,279211884
1438,176967535
1439,209235826
1440,289073129
1441,174706552
1442,239349627
1443,5263231
1444,54731414
1445,44781447
1446,193736585
1447,255971991
1448,320237452
1449,55938959
1450,216543121
1451,28020626
1452,5902227
1453,30748568
1454,3993
1455,2060187
1456,524454049
1457,82677665
1458,82242886
1459,407777192
1460,135270319
1461,651188
1462,282903198
1463,138497975
1464,311252980
1465,71675834
1466,7794620
1467,19386303
1468,11087808
1469,322858957
1470,76763086
1471,3551184
1472,96399318
1473,287954937
1474,360463695
1475,8343516
1476,31895517
1477,249823
1478,194154466
1479,18419683
1480,399585252
1481,107958245
1482,227265617
1483,30019559
1484,108015592
1485,152631292
1486,408019623
1487,66007022
1488,2181032
1489,402140500
1490,12701694
1491,13889536
1492,90558473
1493,284479500
1494,313029293
1495,225296
1496,2155937
1497,21499925
1498,207745047
1499,99848216
1500,6090778
1501,93392924
1502,138612765
1503,262647839
1504,503131
1505,403722278
1506,405543
1507,138833961
1508,332197930
1509,132616235
1510,215289900
1511,4649650
1512,107360302
1513,7196721
1514,463425588
1515,26628150
1516,151808009
1517,11702328
1518,230191164
1519,6680638
1520,9351234
1521,15618120
1522,15151177
1523,140775498
1524,3059787
1525,192126107
1526,450719512
1527,17854543
1528,14004308
1529,20385877
1530,165548118
1531,423047255
1532,320028044
1533,201855074
1534,351490148
1535,453824618
1536,25145456
1537,1511537
1538,526381170
1539,197283955
1540,3166327
1541,36769914
